0.7 0.7 0.9  / Media Salas 2.73 , Media Global: 2.78
0.7 0.9 0.1  / Media Salas 2.79 , Media Global: 2.86
0.7 0.9 0.3  / Media Salas 2.78 , Media Global: 2.82
0.7 0.9 0.5  / Media Salas 2.83 , Media Global: 2.85
0.7 0.9 0.7  / Media Salas 2.8 , Media Global: 2.84
0.7 0.9 0.9  / Media Salas 2.8 , Media Global: 2.83
0.9 0.1 0.1  / Media Salas 3.29 , Media Global: 3.3
0.9 0.1 0.3  / Media Salas 3.24 , Media Global: 3.27
0.9 0.1 0.5  / Media Salas 3.12 , Media Global: 3.17
0.9 0.1 0.7  / Media Salas 3.05 , Media Global: 3.09
0.9 0.1 0.9  / Media Salas 2.93 , Media Global: 3.01
0.9 0.3 0.1  / Media Salas 3.23 , Media Global: 3.25
0.9 0.3 0.3  / Media Salas 2.88 , Media Global: 2.96
0.9 0.3 0.5  / Media Salas 2.77 , Media Global: 2.85
0.9 0.3 0.7  / Media Salas 2.76 , Media Global: 2.8
0.9 0.3 0.9  / Media Salas 2.72 , Media Global: 2.77
0.9 0.5 0.1  / Media Salas 3.04 , Media Global: 3.09
0.9 0.5 0.3  / Media Salas 2.79 , Media Global: 2.82
0.9 0.5 0.5  / Media Salas 2.74 , Media Global: 2.77
0.9 0.5 0.7  / Media Salas 2.78 , Media Global: 2.81
0.9 0.5 0.9  / Media Salas 2.75 , Media Global: 2.79
0.9 0.7 0.1  / Media Salas 2.83 , Media Global: 2.9
0.9 0.7 0.3  / Media Salas 2.78 , Media Global: 2.8
0.9 0.7 0.5  / Media Salas 2.83 , Media Global: 2.85
0.9 0.7 0.7  / Media Salas 2.8 , Media Global: 2.83
0.9 0.7 0.9  / Media Salas 2.83 , Media Global: 2.85
0.9 0.9 0.1  / Media Salas 2.79 , Media Global: 2.83
0.9 0.9 0.3  / Media Salas 2.91 , Media Global: 2.92
0.9 0.9 0.5  / Media Salas 2.87 , Media Global: 2.88
0.9 0.9 0.7  / Media Salas 2.85 , Media Global: 2.89
0.9 0.9 0.9  / Media Salas 2.84 , Media Global: 2.9
